Açao	                                               |Comando da CLI
========================================================================================
Faça o login no npm	                                    npm login
Alterar configurações de perfil (incluindo sua senha)	npm profile set
Alterar os modos 2FA para sua conta de usuário	        npm profile enable-2fa auth-only
Desativar 2FA para sua conta de usuário	                npm profile disable-2fa
Criar tokens	                                        npm token create
Revogar fichas	                                        npm token revoke
Publicar pacotes	                                    npm publish
Cancelar a publicação de pacotes	                    npm unpublish
Descontinuar pacotes	                                npm deprecate
Alterar a visibilidade do pacote	                    npm access public/restricted
Alterar o acesso ao pacote do usuário e da equipe	    npm access grant/revoke
